# a262b85f-d090-4bfc-aa27-752a7391c6dc,,,,,,,,,
# afd3be82cbbb3d33ea115b15c59834b0da2720a2,,,,,,,,,
# s, x, y, psi, kappa, vx, ax, steer_tire_deg, steer_wheel_deg, throttle_pct
103.9826153,105.4224514,7.4839138,-1.4803066,-0.0000012,42.8202915,1.9626918,-0.0001056,-0.0004028,100
105.982281,107.4139356,7.6646137,-1.4803089,-0.0000011,42.9118494,1.9539702,-0.0000994,-0.0003789,100
107.9819467,109.4054187,7.8453091,-1.4803111,-0.0000011,43.0028068,1.9452873,-0.0000939,-0.000358,100
109.9816123,111.3969058,8.0260004,-1.4803132,-0.000001,43.0931693,1.9366431,-0.00009,-0.0003434,100
111.981278,113.3883912,8.2066876,-1.4803152,-0.000001,43.1829424,1.9280372,-0.0000872,-0.0003326,100
113.9809437,115.3798755,8.3873706,-1.4803172,-0.000001,43.2721316,1.9194696,-0.0000855,-0.000326,100
115.9806094,117.3713635,8.5680501,-1.4803191,-0.000001,43.3607423,1.91094,-0.0000859,-0.0003276,100
117.9802751,119.36285,8.7487255,-1.4803211,-0.000001,43.4487797,1.9024484,-0.0000875,-0.0003337,100
119.9799407,121.3543356,8.9293968,-1.4803231,-0.000001,43.536249,1.8939945,-0.0000904,-0.0003447,100
121.9796064,123.3458245,9.1100643,-1.4803252,-0.0000011,43.6231554,1.8855781,-0.0000954,-0.000364,100
123.9792721,125.3373121,9.2907273,-1.4803275,-0.0000012,43.709504,1.8771992,-0.0001014,-0.0003867,100
125.9789378,127.328799,9.4713856,-1.4803299,-0.0000012,43.7952997,1.8688575,-0.0001083,-0.0004131,100
127.9786035,129.320289,9.6520392,-1.4803324,-0.0000013,43.8805476,1.8605528,-0.0001161,-0.0004429,100
129.9782691,131.3117779,9.8326875,-1.4803351,-0.0000014,43.9652525,1.8522851,-0.0001238,-0.0004721,100
131.9779348,133.3032665,10.01333,-1.480338,-0.0000015,44.0494192,1.8440541,-0.0001312,-0.0005005,100
133.9776005,135.2947578,10.1939668,-1.4803411,-0.0000016,44.1330524,1.8358597,-0.0001365,-0.0005206,100
135.9772662,137.2862484,10.3745974,-1.4803442,-0.0000016,44.2161568,1.8277016,-0.0001397,-0.0005328,100
137.9769318,139.2777387,10.5552215,-1.4803474,-0.0000016,44.2987371,1.8195799,-0.0001405,-0.0005358,100
139.9765975,141.2692316,10.7358395,-1.4803506,-0.0000015,44.3807978,1.8114942,-0.0001348,-0.0005143,100
141.9762632,143.2607239,10.9164513,-1.4803535,-0.0000014,44.4623434,1.8034445,-0.0001248,-0.000476,100
143.9759289,145.252216,11.0970574,-1.4803562,-0.0000012,44.5433783,1.7954305,-0.0001099,-0.000419,100
145.9755946,147.2437103,11.2776588,-1.4803584,-0.000001,44.6239069,1.7874521,-0.0000847,-0.000323,100
147.9752602,149.2352039,11.4582562,-1.48036,-0.0000006,44.7039336,1.7795092,-0.0000537,-0.0002049,100
149.9749259,151.2266972,11.6388512,-1.4803608,-0.0000002,44.7834627,1.7716016,-0.0000164,-0.0000624,100
151.9745916,153.2181919,11.8194456,-1.4803607,0.0000004,44.8624983,1.7637292,0.0000318,0.0001212,100
153.9742573,155.2096857,12.0000414,-1.4803594,0.000001,44.9410446,1.7558917,0.0000848,0.0003232,100
155.973923,157.2011787,12.180641,-1.4803568,0.0000016,45.0191057,1.748089,0.0001429,0.0005452,100
157.9735886,159.1926722,12.3612472,-1.4803528,0.0000024,45.0966858,1.740321,0.0002074,0.000791,100
159.9732543,161.1841642,12.5418627,-1.4803473,0.0000031,45.1737887,1.7325876,0.0002746,0.0010473,100
161.97292,163.1756547,12.7224907,-1.4803403,0.0000039,45.2504186,1.7248885,0.0003448,0.0013151,100
163.9725857,165.1671448,12.9031344,-1.4803316,0.0000048,45.3265792,1.7172236,0.0004207,0.0016046,100
165.9722514,167.1586325,13.0837971,-1.4803211,0.0000057,45.4022745,1.7095927,0.0004998,0.0019063,100
167.971917,169.1501179,13.2644824,-1.4803088,0.0000066,45.4775082,1.7019958,0.0005825,0.0022215,100
169.9715827,171.1416017,13.4451942,-1.4802946,0.0000076,45.5522843,1.6944327,0.00067,0.0025553,100
171.9712484,173.1330823,13.6259363,-1.4802784,0.0000086,45.6266063,1.6869031,0.000757,0.0028873,100
173.9709141,175.1245594,13.8067126,-1.4802602,0.0000096,45.7004779,1.679407,0.0008432,0.003216,100
175.9705797,177.1160339,13.9875271,-1.4802402,0.0000104,45.7739029,1.6719442,0.0009152,0.0034905,100
177.9702454,179.1075041,14.168383,-1.4802186,0.0000111,45.8468848,1.6645146,0.0009743,0.0037161,100
179.9699111,181.0989701,14.3492829,-1.480196,0.0000116,45.9194272,1.657118,0.0010186,0.0038848,100
181.9695768,183.0904325,14.5302287,-1.4801727,0.0000117,45.9915335,1.6497543,0.0010275,0.0039187,100
183.9692425,185.0818903,14.711221,-1.4801494,0.0000115,46.0632073,1.6424233,0.0010124,0.0038614,100
185.9689081,187.0733439,14.8922591,-1.4801268,0.000011,46.1344521,1.6351248,0.00097,0.0036994,100
187.9685738,189.0647937,15.0733408,-1.4801059,0.0000099,46.205271,1.6278588,0.00087,0.0033182,100
