# f695bbeb-b9cd-40dd-aec6-6e58cf9832b9,,,,,,,,,
# afd3be82cbbb3d33ea115b15c59834b0da2720a2,,,,,,,,,
# s, x, y, psi, kappa, vx, ax, steer_tire_deg, steer_wheel_deg, throttle_pct
103.879846,9.6966897,13.8982617,-2.3522057,-0.0095864,11.7152425,-5.0481415,-0.8430539,-3.2154075,0
105.8775353,11.0751866,12.474639,-2.4051851,-0.0493574,10.8202435,-2.6201527,-4.3326555,-16.5247482,0
107.8752247,12.3378952,10.8781877,-2.5549828,-0.096702,10.3251715,-2.3524077,-8.443192,-32.2023341,0
109.872914,13.2411768,9.1466772,-2.7710467,-0.1110144,9.8595338,-1.5607333,-9.6707159,-36.8841106,0
111.8706034,13.7769668,7.2118138,-2.9555143,-0.0645034,9.5380652,-1.6211752,-5.6545777,-21.5665595,0
113.8682927,14.0363241,5.2794476,-3.0801301,-0.1436295,9.192251,-0.0934711,-12.4331742,-47.4201265,0
115.8659821,13.8352219,3.3881299,2.8670354,-0.1783082,9.171915,-0.0934711,-15.3071417,-58.3814383,0
117.8636714,12.9020061,1.5320775,2.4846483,-0.1717116,9.1515339,0.2371061,-14.7660354,-56.317659,100
119.8613607,11.4952022,0.16405,2.2149791,-0.1226524,9.2031463,2.3654115,-10.6623467,-40.6661903,100
121.8590501,9.7046634,-0.8411594,1.9430647,-0.1317771,9.703021,1.2785191,-11.4353707,-43.6145039,100
123.8567394,7.7675589,-1.3463724,1.724467,-0.0852217,9.9627699,3.3783355,-7.4528483,-28.4251635,100
125.8544288,5.7713694,-1.508291,1.5844715,-0.0662898,10.6185928,3.8747172,-5.8101221,-22.1598057,100
127.8521181,3.8126958,-1.4105888,1.4599998,-0.0589631,11.3241104,3.8248987,-5.1716536,-19.7246868,100
129.8498075,1.8466743,-1.0671156,1.333019,-0.0668627,11.9798746,2.7226869,-5.8599948,-22.35002,100
131.8474968,-0.0306159,-0.4790454,1.2032236,-0.0615616,12.425601,2.7592065,-5.3982482,-20.5889187,100
133.8451862,-1.8763508,0.356263,1.0936538,-0.0461624,12.8615565,3.743581,-4.0531601,-15.4587525,100
