# 505354ca-1117-48f2-a79c-ec62487a6a90,,,,,,,,,
# afd3be82cbbb3d33ea115b15c59834b0da2720a2,,,,,,,,,
# s, x, y, psi, kappa, vx, ax, steer_tire_deg, steer_wheel_deg, throttle_pct
103.9187303,227.3500746,-192.2207548,-2.2227643,-0.0000071,28.2472538,-8.7762814,-0.0006285,-0.0023972,0
105.9171674,228.9385547,-193.4333286,-2.2228711,-0.0001753,27.619371,-8.6174857,-0.0154148,-0.058792,0
107.9156045,230.5273487,-194.6470549,-2.2235406,-0.0004938,26.9886393,-8.2202041,-0.0434303,-0.1656432,0
109.9140416,232.1131345,-195.8615142,-2.225512,-0.0014897,26.3729317,-7.6594209,-0.1310184,-0.4997043,0
111.9124787,233.6960954,-197.0813995,-2.2297464,-0.0030437,25.7859998,-6.9358393,-0.2676913,-1.0209745,0
113.9109159,235.2721951,-198.3114981,-2.2380066,-0.0052147,25.2427437,-5.8977659,-0.4586189,-1.7491724,0
115.909353,236.8333627,-199.5572003,-2.2516556,-0.008507,24.7714247,-4.8700353,-0.7481364,-2.8533922,0
117.9077901,238.3741201,-200.8300695,-2.2720289,-0.0119606,24.3753679,-3.8313269,-1.051808,-4.0115959,0
119.9062272,239.8844703,-202.1398582,-2.2995724,-0.0155865,24.0592026,-3.2204193,-1.3705588,-5.2273111,0
121.9046643,241.3519729,-203.4939022,-2.3331772,-0.0179175,23.7902,-2.7904723,-1.5754284,-6.0086838,0
123.9031015,242.7703451,-204.8997354,-2.3709424,-0.0196888,23.554627,-2.6335332,-1.7310824,-6.6023483,0
125.9015386,244.1338294,-206.361463,-2.4112599,-0.0205699,23.3301211,-2.3057024,-1.8084997,-6.897618,0
127.8999757,245.4325694,-207.8741513,-2.4535573,-0.022037,23.1317736,-1.9836467,-1.9373973,-7.3892334,0
129.8984128,246.6692634,-209.4499827,-2.4993556,-0.0234827,22.9597596,-1.8493289,-2.0643824,-7.8735545,0
131.8968499,247.8276351,-211.0775254,-2.5469816,-0.0242715,22.7982242,-1.760425,-2.1336692,-8.1378145,0
133.8952871,248.9073419,-212.7619214,-2.5963444,-0.0249011,22.6433838,-1.6688986,-2.188964,-8.3487089,0
135.8937242,249.9007347,-214.4961909,-2.6466927,-0.025541,22.4956096,-1.6635695,-2.245157,-8.563029,0
137.8921613,250.8056738,-216.2809452,-2.6980783,-0.0258733,22.3473348,-1.5750553,-2.2743392,-8.6743298,0
139.8905984,251.6161061,-218.1082277,-2.7504241,-0.0265136,22.2060369,-1.4445523,-2.3305607,-8.8887585,0
141.8890356,252.3278288,-219.9738666,-2.8041278,-0.0273052,22.0756513,-1.4409154,-2.4000575,-9.1538194,0
143.8874727,252.9389576,-221.8816302,-2.8590135,-0.0273576,21.9448222,-1.5015294,-2.404659,-9.1713695,0
145.8859098,253.4429003,-223.8131771,-2.9138582,-0.0277042,21.8076546,-1.3360556,-2.4350937,-9.2874472,0
147.8843469,253.839664,-225.772948,-2.9701351,-0.028655,21.6848738,-1.1923672,-2.518556,-9.6057727,0
149.882784,254.1240227,-227.7563163,-3.0285111,-0.0295059,21.5747077,-1.0555084,-2.5932398,-9.8906166,0
151.8812212,254.289989,-229.741903,-3.0881839,-0.030313,21.4767148,-1.0263681,-2.6640788,-10.1607964,0
153.8796583,254.335938,-231.7394817,3.1340566,-0.0306859,21.3809965,-0.6487483,-2.6967981,-10.2855881,0
155.8780954,254.2586544,-233.7374712,3.0711564,-0.0324067,21.3202732,-0.6004229,-2.8477878,-10.8614628,0
157.8765325,254.05383,-235.717545,3.0057347,-0.032768,21.2639186,-0.5674217,-2.8794878,-10.9823666,0
159.8749696,253.719631,-237.6869768,2.9418819,-0.0309575,21.2105238,-1.0711191,-2.7206337,-10.3764971,0
161.8734068,253.2635966,-239.6287521,2.8798809,-0.0311813,21.1093626,-1.0844112,-2.7402723,-10.4513987,0
163.8718439,252.68724,-241.5398961,2.8174051,-0.0314489,21.0064499,-1.0874123,-2.7637566,-10.5409678,0
165.870281,251.9905221,-243.4150644,2.7542229,-0.031641,20.9027435,-1.1067408,-2.7806063,-10.6052323,0
167.8687181,251.1777091,-245.2402598,2.6910548,-0.0315855,20.7966628,-0.906128,-2.7757403,-10.5866734,0
169.8671552,250.2528902,-247.0065648,2.6268768,-0.0330967,20.7094061,-0.6548155,-2.9083246,-11.09235,0
171.8655924,249.2109519,-248.7122939,2.5591384,-0.0343926,20.6461204,-0.6540502,-3.0219899,-11.5258695,0
173.8640295,248.0536722,-250.3438247,2.4900864,-0.0345462,20.5827144,-0.6558428,-3.0354586,-11.5772393,0
175.8624666,246.7926174,-251.884918,2.4216501,-0.03419,20.5189378,-0.7808345,-3.0042204,-11.4580964,0
177.8609037,245.4200915,-253.3459175,2.3532414,-0.033838,20.4427472,-0.9066677,-2.9733431,-11.3403304,0
179.8593408,243.9565762,-254.70641,2.2864518,-0.0331332,20.3539204,-0.8732134,-2.9115222,-11.1045456,0
181.857778,242.4034844,-255.9683174,2.2192485,-0.0346125,20.2680031,-0.4544174,-3.0412771,-11.5994308,0
183.8562151,240.7672192,-257.1188683,2.1470298,-0.036677,20.2231477,-0.4544174,-3.2223043,-12.2898685,0
185.8546522,239.0549486,-258.1525249,2.0843654,-0.0259843,20.1781925,1.9050758,-2.2840789,-8.7114767,100
187.8530893,237.2922635,-259.0946297,2.041202,-0.0191742,20.3659962,3.2975605,-1.6858667,-6.4298958,100
189.8515264,235.496659,-259.9669047,2.0057715,-0.0162867,20.6870427,3.5244958,-1.4321009,-5.4620327,100
191.8499636,233.6700945,-260.7803692,1.9738194,-0.0159578,21.024764,3.5088437,-1.4031965,-5.3517914,100
193.8484007,231.8202693,-261.534478,1.9420268,-0.0157214,21.3556809,3.493261,-1.3824144,-5.2725287,100
195.8468378,229.9471354,-262.2304688,1.9113082,-0.0150278,21.6801115,3.4777475,-1.32145,-5.0400103,100
197.8452749,228.0528167,-262.870197,1.8818158,-0.0145137,21.9983489,3.4623029,-1.2762505,-4.8676194,100
199.843712,226.1429146,-263.4540538,1.8532845,-0.0140539,22.3106643,3.446927,-1.2358387,-4.7134888,100
201.8421492,224.2154121,-263.9845988,1.825663,-0.0135807,22.6173092,3.4316192,-1.1942399,-4.5548308,100
203.8405863,222.2742855,-264.4625939,1.7989608,-0.0131407,22.9185171,3.4163795,-1.1555587,-4.407301,100
205.8390234,220.3238947,-264.8888941,1.7731467,-0.0127213,23.2145055,3.4012075,-1.1186834,-4.2666585,100
207.8374605,218.3596093,-265.2661781,1.7481004,-0.0123229,23.5054773,3.3861028,-1.0836587,-4.1330744,100
209.8358976,216.3881648,-265.594692,1.723856,-0.0119441,23.7916223,3.3710652,-1.0503499,-4.0060344,100
211.8343348,214.4120844,-265.8757114,1.700388,-0.0115703,24.0731181,3.3560944,-1.0174903,-3.8807079,100
213.8327719,212.4253626,-266.1114845,1.6775539,-0.0112549,24.3501315,3.3411901,-0.9897576,-3.7749353,100
215.831209,210.4363201,-266.3022674,1.6554165,-0.0108668,24.6228191,3.326352,-0.95564,-3.644811,100
217.8296461,208.4455329,-266.4497191,1.634202,-0.0103813,24.8913284,3.3115797,-0.9129447,-3.4819711,100
219.8280832,206.4496287,-266.5559254,1.6138584,-0.0099499,25.1557985,3.2968731,-0.8750187,-3.3373212,100
